,class
1,dog
2,cat
3,cat
4,dog
5,dog
6,cat
7,cat
8,dog
9,cat
10,cat
11,cat
12,cat
13,cat
14,cat
15,dog
16,dog
17,dog
18,cat
19,dog
20,cat
21,dog
22,cat
23,cat
24,cat
25,cat
26,dog
27,cat
28,cat
29,dog
30,dog
31,dog
32,cat
33,dog
34,dog
35,cat
36,dog
37,dog
38,dog
39,dog
40,cat
41,cat
42,dog
43,cat
44,dog
45,cat
46,cat
47,dog
48,dog
49,dog
50,dog
51,dog
52,dog
53,cat
54,dog
55,dog
56,dog
57,dog
58,cat
59,cat
60,cat
61,dog
62,cat
63,dog
64,cat
65,cat
66,dog
67,dog
68,dog
69,dog
70,dog
71,dog
72,cat
73,dog
74,dog
75,dog
76,cat
77,dog
78,cat
79,cat
80,cat
81,dog
82,cat
83,cat
84,dog
85,dog
86,cat
87,dog
88,dog
89,cat
90,dog
91,dog
92,dog
93,dog
94,cat
95,dog
96,cat
97,dog
98,dog
99,dog
100,dog
101,cat
102,cat
103,dog
104,dog
105,dog
106,dog
107,cat
108,dog
109,cat
110,dog
111,dog
112,dog
113,dog
114,cat
115,dog
116,dog
117,dog
118,dog
119,cat
120,dog
121,dog
122,cat
123,dog
124,dog
125,cat
126,cat
127,dog
128,cat
129,cat
130,dog
131,dog
132,cat
133,dog
134,cat
135,cat
136,cat
137,dog
138,cat
139,cat
140,cat
141,dog
142,dog
143,cat
144,cat
145,dog
146,cat
147,cat
148,cat
149,cat
150,cat
151,cat
152,cat
153,dog
154,dog
155,dog
156,cat
157,dog
158,dog
159,dog
160,dog
161,dog
162,dog
163,dog
164,dog
165,dog
166,dog
167,dog
168,dog
169,cat
170,cat
171,cat
172,cat
173,cat
174,dog
175,cat
176,dog
177,cat
178,cat
179,cat
180,dog
181,dog
182,cat
183,dog
184,dog
185,dog
186,dog
187,dog
188,dog
189,dog
190,cat
191,dog
192,cat
193,cat
194,cat
195,dog
196,cat
197,dog
198,dog
199,dog
200,dog
201,dog
202,dog
203,dog
204,dog
205,cat
206,cat
207,dog
208,cat
209,dog
210,dog
211,dog
212,dog
213,dog
214,dog
215,dog
216,cat
217,dog
218,cat
219,cat
220,dog
221,cat
222,dog
223,cat
224,dog
225,dog
226,cat
227,cat
228,cat
229,dog
230,dog
231,cat
232,cat
233,cat
234,dog
235,dog
236,dog
237,dog
238,cat
239,dog
240,cat
241,dog
242,dog
243,cat
244,dog
245,dog
246,cat
247,dog
248,cat
249,dog
250,dog
251,dog
252,cat
253,cat
254,cat
255,cat
256,cat
257,dog
258,cat
259,cat
260,dog
261,dog
262,dog
263,dog
264,dog
265,cat
266,cat
267,cat
268,dog
269,cat
270,dog
271,cat
272,dog
273,dog
274,dog
275,dog
276,dog
277,dog
278,dog
279,cat
280,dog
281,cat
282,cat
283,dog
284,dog
285,dog
286,dog
